2015
January,21.9,24.6,254.7
February,20.2,24.4,197.4
March,20.3,22.2,186.6
April,20.9,19.1,125.6
May,16.8,14.8,107.1
June,18.0,14.8,81.6
July,16.2,13.5,79.4
August,17.7,14.0,101.8
September,18.9,15.4,167.1
October,18.0,19.0,191.1
November,20.2,20.8,239.0
December,21.6,21.9,265.5
